DATE,IPG3113N
1/3/2021,99.4753
1/4/2021,92.0979
1/5/2021,91.2999
1/6/2021,92.1267
1/7/2021,89.7858
1/8/2021,96.3118
1/9/2021,103.4721
1/10/2021,123.4177
1/11/2021,124.3256
1/12/2021,126.8315
